Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6413   -15.30   20.588   3.65   6.3580   1.6910
6415   -15.30   20.588   3.65   6.3580   1.6910
6416   -15.30   20.588   3.66   6.3580   1.6910
6417   -15.30   20.588   3.67   6.3580   1.6910
6419   -17.21   15.640   15.5   5.2700   3.7290
6421   -17.21   15.640   16.6   5.2700   3.7290
6422   -17.21   15.640   15.9   5.2700   3.7290
6423   -17.21   15.640   1.70   5.2700   3.7290
6425   -17.21   15.640   1.72   5.2700   3.7290
6426   -17.21   15.640   1.73   5.2700   3.7290
6427   -17.21   15.640   1.77   5.2700   3.1950
6428   -17.21   15.640   1.71   5.2700   3.1950
6429   -17.21   15.640   9.46   5.2700   3.1950
6430   -17.21   15.640   9.41   5.2700   3.1950
6431   -17.21   15.640   9.40   5.2700   3.1950
6432   -17.21   15.640   7.06   5.2700   3.1950
6433   -17.21   15.640   4.69   5.2700   3.1950
6434   -17.21   15.640   4.68   5.2700   2.6620
6435   -17.21   15.640   4.22   5.2700   2.6620
6436   -17.21   15.640   4.23   5.2700   2.6620
6439   -17.21   15.640   1.75   5.2700   2.6620
6440   -17.21   15.640   1.77   5.2700   2.6620
6441   -17.21   15.640   1.77   5.2700   2.1280
6442   -17.21   15.640   1.77   5.2700   2.1280
6443   -17.21   15.640   2.22   5.2700   2.1280
6444   -17.21   15.640   2.23   5.2700   2.1280
6445   -17.21   15.640   2.22   5.2700   2.1280
6446   -17.21   15.640   2.23   5.2700   2.1280
6447   -17.21   15.640   2.22   5.2700   2.1280
6448   -17.21   15.640   2.23   5.2700   2.1280
6449   -17.21   15.640   12.3   5.2700   3.7290
6450   -17.21   15.640   15.2   5.2700   3.7290
6451   -17.21   15.640   14.0   5.2700   3.7290
6452   -17.21   15.640   14.0   5.2700   3.7290
6453   -17.21   15.640   14.2   5.2700   3.7290
6454   -17.21   15.640   1.77   5.2700   3.7290
6455   -17.21   15.640   1.75   5.2700   3.7290
6456   -17.21   15.640   1.76   5.2700   3.1950
6459   -17.21   15.640   14.8   5.2700   3.1950
6460   -17.21   15.640   15.0   5.2700   3.1950
6461   -17.21   15.640   13.0   5.2700   3.1950
6462   -17.21   15.640   11.4   5.2700   3.1950
6463   -17.21   15.640   8.21   5.2700   3.1950
6464   -17.21   15.640   8.35   5.2700   3.1950
6465   -17.21   15.640   8.81   5.2700   2.6620
6466   -17.21   15.640   8.75   5.2700   2.6620
6467   -17.21   15.640   8.85   5.2700   2.6620
6468   -17.21   15.640   1.76   5.2700   2.6620
6469   -17.21   15.640   1.76   5.2700   2.6620
6470   -17.21   15.640   1.78   5.2700   2.6620
6471   -17.21   15.640   1.77   5.2700   2.1280
6472   -17.21   15.640   1.77   5.2700   2.1280
6473   -17.21   15.640   4.47   5.2700   2.1280
6474   -17.21   15.640   4.43   5.2700   2.1280
6475   -17.21   15.640   4.45   5.2700   2.1280
6476   -17.21   15.640   4.49   5.2700   2.1280
6477   -17.21   15.640   4.45   5.2700   2.1280
6478   -17.21   15.640   4.48   5.2700   2.1280
6479   -17.21   15.640   4.48   5.2700   2.1280
6482   -13.96   9.0410   36.6   6.3580   7
6483   -13.96   9.0410   25.5   6.3580   7
6484   -13.96   9.0410   18.7   6.3580   7
